S,K,ST,KA,KASJS
33.95,43.62,22.12,45,45
33.93,43.75,22.13,45,45
33.91,43.88,22.14,45,45
33.89,44,22.15,45,45
33.87,44.12,22.16,45,45
33.85,44.25,22.17,45,45
33.83,44.38,22.18,45,45
33.81,44.5,22.19,45,45
33.79,44.62,22.2,45,45
33.77,44.75,22.21,45,45
33.75,44.88,22.22,45,45
33.73,45,22.23,45,45
33.71,45.12,22.24,45,45
33.69,45.25,22.25,45,45
33.67,45.38,22.26,45,45
33.65,45.5,22.27,45,45
33.63,45.62,22.28,45,45
33.61,45.75,22.29,45,45
33.59,45.88,22.3,45,45
33.57,46,22.31,45,45
33.55,46.12,22.32,45,45
33.53,46.25,22.33,45,45
33.51,46.38,22.34,45,45
33.49,46.5,22.35,45,45
33.47,46.62,22.36,45,45
33.45,46.75,22.37,45,45
33.43,46.88,22.38,45,45
33.41,47,22.39,45,45
33.39,47.12,22.4,45,45
33.37,47.25,22.41,45,45
33.35,47.38,22.42,45,45
33.33,47.5,22.43,45,45
33.31,47.62,22.44,45,45
33.29,47.75,22.45,45,45
33.27,47.88,22.46,45,45
33.25,48,22.47,45,45
33.23,48.12,22.48,45,45
33.21,48.25,22.49,45,45
33.19,48.38,22.5,45,45
33.17,48.5,22.51,45,45
33.15,48.62,22.52,45,45
33.13,48.75,22.53,45,45
33.11,48.88,22.54,45,45
33.09,49,22.55,45,45
33.07,49.12,22.56,45,45
33.05,49.25,22.57,45,45
33.03,49.38,22.58,45,45
33.01,49.5,22.59,45,45
32.99,49.62,22.6,45,45
32.97,49.75,22.61,45,45
32.95,49.88,22.62,45,45
32.93,50,22.63,45,45
32.91,50.12,22.64,45,45
32.89,50.25,22.65,45,45
32.87,50.38,22.66,45,45
32.85,50.5,22.67,45,45
32.83,50.62,22.68,45,45
32.81,50.75,22.69,45,45
32.79,50.88,22.7,45,45
32.77,51,22.71,45,45
32.75,51.12,22.72,45,45
32.73,51.25,22.73,45,45
32.71,51.38,22.74,45,45
32.69,51.5,22.75,45,45
32.67,51.62,22.76,45,45
32.65,51.75,22.77,45,45
32.63,51.88,22.78,45,45
32.61,52,22.79,45,45
32.59,52.12,22.8,45,45
32.57,52.25,22.81,45,45
32.55,52.38,22.82,45,45
32.53,52.5,22.83,45,45
32.51,52.62,22.84,45,45
32.49,52.75,22.85,45,45
32.47,52.88,22.86,45,45
32.45,53,22.87,45,45
32.43,53.12,22.88,45,45
32.41,53.25,22.88,45,45
32.39,53.38,22.88,45,45
32.37,53.5,22.89,45,45
32.35,53.62,22.9,45,45
32.33,53.75,22.9,45,45
32.31,53.88,22.9,45,45
32.29,54,22.91,45,45
32.26,54.12,22.92,45,45
32.24,54.25,22.92,45,45
32.22,54.38,22.92,45,45
32.19,54.5,22.93,45,45
32.16,54.62,22.94,45,45
32.14,54.75,22.94,45,45
32.12,54.88,22.94,45,45
32.09,55,22.95,45,45
32.07,55.12,22.96,45,45
32.04,55.25,22.96,45,45
32.02,55.38,22.96,45,45
31.99,55.5,22.97,45,45
31.96,55.62,22.98,45,45
31.94,55.75,22.98,45,45
31.92,55.88,22.98,45,45
31.89,56,22.99,45,45
31.86,56.12,22.99,45,45
31.84,56.25,23,45,42
33.87,57.54,23,42,40
33.64,56.02,24,40,38
30.15,59.26,24,38,36
29.34,62.41,24,36,37
30.61,59.51,24,37,37
30.61,59.51,24,37,37
30.61,59.51,24,37,36.86
30.8,58.61,23.57,36.86,36.72
30.99,57.71,23.14,36.72,36.58
31.18,56.81,22.71,36.58,36.44
31.37,55.91,22.28,36.44,36.3
31.56,55.01,21.85,36.3,36.16
31.75,54.11,21.42,36.16,36.02
31.94,53.21,20.99,36.02,35.87
32.13,52.31,20.56,35.87,35.72
32.32,51.41,20.13,35.72,35.58
32.51,50.51,19.7,35.58,35.44
32.7,49.61,19.27,35.44,35.29
32.9,48.72,18.85,35.29,35.14
33.1,47.82,18.42,35.14,35
33.29,46.93,18,35,36
36.26,42.67,20,36,36.5
37.3,39.9,21.5,36.5,37
38.35,37.14,23,37,35
33.14,46.81,25,35,35
34.82,44.49,25,35,35
36.21,42.05,25,35,32
33.42,46.08,26,32,34
31.57,49.03,25,34,33.5
29.38,52.43,24,33.5,33
27.19,55.83,23,33,32.75
27.16,55.54,22.38,32.75,32.5
27.13,55.24,21.75,32.5,32.25
27.1,54.94,21.12,32.25,32
27.07,54.65,20.5,32,31.75
27.04,54.36,19.88,31.75,31.5
27.02,54.06,19.25,31.5,31.25
26.99,53.76,18.62,31.25,31
26.97,53.47,18,31,30
27.61,51.68,18,30,30.33
29.3,48.91,17.67,30.33,30.66
30.98,46.14,17.34,30.66,31
32.67,43.37,17,31,31
29.21,52.69,18,31,31.5
31.11,50.62,18.5,31.5,32
33.01,48.55,19,32,32
33.01,48.55,19,32,32
33.01,48.55,19,32,32
33.01,48.55,19,32,32
33.01,48.55,19,32,32
33.01,48.55,19,32,32
33.01,48.55,19,32,32
33.01,48.55,19,32,32
33.01,48.55,19,32,32
33.01,48.55,19,32,32.65
32.98,49.17,19.18,32.65,33.3
32.95,49.79,19.36,33.3,33.95
32.92,50.41,19.54,33.95,34.6
32.89,51.03,19.72,34.6,35.25
32.86,51.65,19.9,35.25,35.9
32.83,52.27,20.08,35.9,36.55
32.8,52.89,20.25,36.55,37.2
32.78,53.52,20.42,37.2,37.84
32.75,54.14,20.6,37.84,38.48
32.72,54.76,20.78,38.48,39.13
32.7,55.39,20.95,39.13,39.78
32.68,56.02,21.12,39.78,40.42
32.65,56.64,21.3,40.42,41.06
32.62,57.26,21.48,41.06,41.71
32.6,57.89,21.65,41.71,42.36
32.58,58.52,21.82,42.36,43
32.55,59.14,22,43,39
31.3,59.88,23,39,37
36.32,53.63,24,37,37
36.32,53.63,24,37,37
36.32,53.63,24,37,37
36.32,53.63,24,37,37
36.32,53.63,24,37,37
36.32,53.63,24,37,36.73
36.31,53.31,23.98,36.73,36.46
36.3,52.99,23.96,36.46,36.19
36.29,52.67,23.94,36.19,35.92
36.28,52.35,23.92,35.92,35.65
36.27,52.03,23.9,35.65,35.38
36.26,51.71,23.88,35.38,35.11
36.25,51.39,23.86,35.11,34.84
36.24,51.07,23.84,34.84,34.57
36.23,50.75,23.82,34.57,34.3
36.22,50.43,23.8,34.3,34.03
36.21,50.11,23.78,34.03,33.76
36.2,49.79,23.76,33.76,33.49
36.19,49.47,23.74,33.49,33.22
36.18,49.15,23.72,33.22,32.95
36.17,48.83,23.7,32.95,32.68
36.16,48.51,23.68,32.68,32.41
36.15,48.19,23.66,32.41,32.14
36.14,47.87,23.64,32.14,31.87
36.13,47.55,23.62,31.87,31.6
36.12,47.23,23.6,31.6,31.33
36.11,46.91,23.58,31.33,31.05
36.1,46.59,23.55,31.05,30.78
36.09,46.27,23.52,30.78,30.5
36.08,45.95,23.5,30.5,30.22
36.07,45.63,23.48,30.22,29.95
36.06,45.31,23.45,29.95,29.68
36.05,44.99,23.42,29.68,29.4
36.04,44.67,23.4,29.4,29.12
36.03,44.34,23.38,29.12,28.85
36.02,44.02,23.35,28.85,28.58
36.01,43.7,23.33,28.58,28.3
36,43.37,23.3,28.3,28.02
35.99,43.04,23.28,28.02,27.75
35.99,42.72,23.25,27.75,27.48
35.98,42.4,23.22,27.48,27.2
35.98,42.07,23.2,27.2,26.92
35.97,41.74,23.18,26.92,26.65
35.97,41.42,23.15,26.65,26.38
35.96,41.1,23.12,26.38,26.1
35.96,40.77,23.1,26.1,25.83
35.96,40.44,23.08,25.83,25.55
35.95,40.12,23.05,25.55,25.28
35.94,39.8,23.02,25.28,25
35.94,39.47,23,25,25
35.94,39.47,23,25,24
33.66,42.06,22,24,24
28.43,51.54,21,24,24
28.01,53.68,21,24,23.9
28.08,53.55,21.04,23.9,23.8
28.15,53.42,21.08,23.8,23.7
28.22,53.29,21.12,23.7,23.6
28.29,53.16,21.16,23.6,23.5
28.36,53.03,21.2,23.5,23.4
28.43,52.9,21.24,23.4,23.3
28.5,52.77,21.28,23.3,23.2
28.57,52.64,21.32,23.2,23.1
28.64,52.51,21.36,23.1,23
28.71,52.38,21.4,23,22.9
28.78,52.25,21.44,22.9,22.8
28.85,52.12,21.48,22.8,22.7
28.92,51.99,21.52,22.7,22.6
28.99,51.86,21.56,22.6,22.5
29.06,51.73,21.6,22.5,22.4
29.13,51.6,21.64,22.4,22.3
29.2,51.47,21.68,22.3,22.2
29.27,51.34,21.72,22.2,22.1
29.34,51.21,21.76,22.1,22
29.41,51.08,21.8,22,21.9
29.48,50.95,21.84,21.9,21.8
29.55,50.82,21.88,21.8,21.7
29.62,50.69,21.93,21.7,21.6
29.69,50.56,21.98,21.6,21.5
29.76,50.43,22.02,21.5,21.4
29.83,50.3,22.06,21.4,21.3
29.9,50.17,22.11,21.3,21.2
29.97,50.04,22.16,21.2,21.1
30.04,49.91,22.2,21.1,21
30.12,49.78,22.24,21,20.9
30.19,49.65,22.29,20.9,20.8
30.26,49.52,22.34,20.8,20.7
30.34,49.39,22.38,20.7,20.6
30.42,49.26,22.42,20.6,20.5
30.49,49.13,22.47,20.5,20.4
30.56,49,22.52,20.4,20.3
30.64,48.87,22.56,20.3,20.2
30.72,48.74,22.6,20.2,20.1
30.79,48.61,22.65,20.1,20
30.86,48.48,22.7,20,19.9
30.94,48.35,22.74,19.9,19.8
31.02,48.22,22.78,19.8,19.7
31.09,48.1,22.83,19.7,19.6
31.16,47.98,22.88,19.6,19.5
31.24,47.85,22.92,19.5,19.4
31.32,47.72,22.97,19.4,19.3
31.39,47.6,23.01,19.3,19.2
31.46,47.48,23.06,19.2,19.1
31.54,47.35,23.1,19.1,19
31.62,47.22,23.15,19,18.89
31.69,47.1,23.19,18.89,18.78
31.76,46.98,23.24,18.78,18.68
31.84,46.85,23.28,18.68,18.58
31.92,46.72,23.33,18.58,18.47
31.99,46.6,23.37,18.47,18.36
32.06,46.48,23.42,18.36,18.26
32.14,46.35,23.46,18.26,18.16
32.22,46.22,23.51,18.16,18.05
32.29,46.1,23.55,18.05,17.94
32.36,45.98,23.6,17.94,17.84
32.44,45.85,23.64,17.84,17.74
32.52,45.72,23.68,17.74,17.63
32.59,45.6,23.73,17.63,17.52
32.67,45.48,23.78,17.52,17.42
32.74,45.35,23.82,17.42,17.32
32.82,45.22,23.86,17.32,17.21
32.89,45.1,23.91,17.21,17.1
32.97,44.98,23.96,17.1,17
33.04,44.85,24,17,20
35.17,42.21,23,20,22
28.78,52.14,23,22,22
27.92,54.16,22,22,22.38
27.56,54.5,21.62,22.38,22.75
27.2,54.84,21.25,22.75,23.12
26.84,55.18,20.88,23.12,23.5
26.48,55.52,20.5,23.5,23.88
26.12,55.86,20.12,23.88,24.25
25.75,56.19,19.75,24.25,24.62
25.38,56.52,19.38,24.62,25
25.02,56.86,19,25,25
24.29,56.86,18,25,25
23.69,56.73,18,25,25
23.35,56.67,17,25,25
25.81,55.7,17,25,26
28.62,52.41,18,26,26
28.9,51.98,18,26,28
36.39,40.01,22,28,28
35.5,41.13,24,28,28
30.71,55.9,25,28,29
38.18,48.06,24,29,29
38.35,47.71,24,29,29
38.35,47.71,24,29,28.33
37.26,45.92,23.67,28.33,27.66
36.16,44.13,23.34,27.66,27
35.07,42.34,23,27,27
34.86,42.31,23,27,26.75
33.92,43.4,22.38,26.75,26.5
32.98,44.49,21.75,26.5,26.25
32.04,45.58,21.12,26.25,26
31.1,46.67,20.5,26,25.75
30.16,47.76,19.88,25.75,25.5
29.22,48.85,19.25,25.5,25.25
28.28,49.94,18.62,25.25,25
27.33,51.03,18,25,25
26.22,51.12,18,25,25
23.93,55.08,17,25,25
24.14,55.09,17,25,25
26.08,55.04,17,25,25
29.7,50.88,18,25,26
33.96,45.47,20,26,25.65
33.46,46.08,19.85,25.65,25.3
32.96,46.69,19.7,25.3,24.95
32.46,47.3,19.55,24.95,24.6
31.96,47.91,19.4,24.6,24.25
31.46,48.52,19.25,24.25,23.9
30.96,49.13,19.1,23.9,23.55
30.46,49.74,18.95,23.55,23.2
29.96,50.35,18.8,23.2,22.85
29.46,50.96,18.65,22.85,22.5
28.96,51.57,18.5,22.5,22.15
28.46,52.18,18.35,22.15,21.8
27.96,52.79,18.2,21.8,21.45
27.46,53.4,18.05,21.45,21.1
26.96,54.01,17.9,21.1,20.75
26.46,54.62,17.75,20.75,20.4
25.95,55.23,17.6,20.4,20.05
25.44,55.83,17.45,20.05,19.7
24.94,56.44,17.3,19.7,19.35
24.44,57.04,17.15,19.35,19
23.93,57.65,17,19,19
23.62,57.66,17,19,19
26.12,56.85,17,19,19
29.05,53.92,18.5,19,19
31.98,50.99,20,19,36
34.62,48.07,22,36,32
35.54,43.11,24,32,31
37.92,40.16,25,31,29
35.93,46.43,26,29,28
33.1,45.01,26,28,27
34.09,44.6,25,27,26
33.14,47.54,25,26,25.5
31.16,50.32,24.5,25.5,25
29.18,53.09,24,25,25
28.57,54.86,23,25,24.9
28.18,55.14,22.5,24.9,24.8
27.79,55.42,22,24.8,24.7
27.4,55.7,21.5,24.7,24.6
27.01,55.98,21,24.6,24.5
26.62,56.26,20.5,24.5,24.4
26.23,56.54,20,24.4,24.3
25.84,56.82,19.5,24.3,24.2
25.45,57.1,19,24.2,24.1
25.06,57.38,18.5,24.1,24
24.66,57.66,18,24,24
24.35,57.73,17,24,24
26.66,57.25,18,24,24
28.86,55.21,18,24,24
33.31,48.71,20,24,24
34.83,44.97,22,24,24
35.86,41.96,24,24,24
36.88,38.96,26,24,23
35.61,43.83,26,23,23
37.13,37.39,26,23,22
35.52,37.29,26,22,21
33.64,39,26,21,20
31.45,44.09,25,20,20
28.92,48.53,24,20,20
28.33,50.83,23,20,19.75
27.87,51.17,22.25,19.75,19.5
27.41,51.51,21.5,19.5,19.25
26.94,51.85,20.75,19.25,19
26.48,52.19,20,19,18.75
26.02,52.54,19.25,18.75,18.5
25.55,52.88,18.5,18.5,18.25
25.08,53.22,17.75,18.25,18
24.62,53.57,17,18,17
24.75,53.38,17,17,17
24.72,52.71,16,17,18
24.58,52.63,16,18,17
26.8,52.63,16,17,17
30.21,48.78,18,17,17
33.53,42.14,20,17,17
35.99,36.63,23,17,17
36.71,34.39,25,17,17
30.76,49.64,24,17,17
34.88,42.69,25,17,19
35.49,38.18,27,19,20
34.03,39.7,27,20,20
32.44,41.69,27,20,20
30.95,46.05,25.5,20,20
29.46,50.41,24,20,20
28.42,52.64,23,20,20
27.89,53.09,22.38,20,20
27.36,53.54,21.75,20,20
26.83,53.99,21.12,20,20
26.3,54.44,20.5,20,20
25.78,54.9,19.88,20,20
25.25,55.35,19.25,20,20
24.72,55.8,18.62,20,20
24.2,56.26,18,20,19
23.78,56.26,18,19,19
23.48,56.14,17,19,19
23.16,56.45,17,19,19
25.17,55.95,17,19,20
28.7,53.03,18,20,20
34.53,45.55,20,20,20
34.33,44.58,21.5,20,20
34.12,43.61,23,20,20
32.74,45.01,24,20,21
31.69,51.32,24,21,20
33.16,47.44,24,20,20
33.6,44.58,24,20,20
31.96,46.4,24,20,21
32.37,48.39,24,21,21
29.03,52.62,23,21,20.67
28.35,53.05,22.22,20.67,20.34
27.67,53.47,21.44,20.34,20.01
26.99,53.9,20.66,20.01,19.68
26.31,54.32,19.88,19.68,19.34
25.63,54.75,19.1,19.34,19
24.95,55.18,18.33,19,18.67
24.27,55.6,17.55,18.67,18.34
23.58,56.03,16.77,18.34,18
22.9,56.45,16,18,18
22.47,56.51,16,18,18
22.45,55.72,16,18,18
23.55,55.97,15.5,18,18
24.65,56.22,15,18,18
28.76,53,17,18,19
34.69,45.74,20,19,19
35.76,43.11,23,19,19
39.16,36.93,25,19,37
33.17,48.27,23,37,36
34.61,45.44,24,36,35
37.36,40.71,24,35,35
39.13,37.08,25,35,35
39.13,37.08,25,35,35
39.13,37.08,25,35,35
39.13,37.08,25,35,35
39.13,37.08,25,35,34.81
38.96,37.31,24.98,34.81,34.62
38.79,37.54,24.96,34.62,34.43
38.62,37.77,24.94,34.43,34.24
38.45,38,24.92,34.24,34.05
38.28,38.23,24.9,34.05,33.86
38.11,38.46,24.88,33.86,33.67
37.94,38.69,24.86,33.67,33.48
37.77,38.92,24.84,33.48,33.29
37.6,39.15,24.82,33.29,33.1
37.43,39.38,24.8,33.1,32.91
37.26,39.61,24.78,32.91,32.72
37.09,39.84,24.76,32.72,32.53
36.92,40.07,24.74,32.53,32.34
36.75,40.3,24.72,32.34,32.15
36.58,40.53,24.7,32.15,31.96
36.41,40.76,24.68,31.96,31.77
36.24,40.99,24.66,31.77,31.58
36.07,41.22,24.64,31.58,31.39
35.9,41.45,24.62,31.39,31.2
35.73,41.68,24.6,31.2,31.01
35.56,41.91,24.58,31.01,30.82
35.39,42.14,24.56,30.82,30.63
35.22,42.37,24.54,30.63,30.44
35.05,42.6,24.52,30.44,30.24
34.88,42.83,24.5,30.24,30.04
34.71,43.06,24.48,30.04,29.85
34.54,43.29,24.46,29.85,29.66
34.37,43.52,24.44,29.66,29.46
