S,K,ST,KA,KASJS
23.7,52.77,20.33,36.67,36.34
22.81,54.17,19.66,36.34,36
21.92,55.56,19,36,36
21.97,54.54,18,36,35.5
21.04,54.88,17,35.5,35
20.12,55.22,16,35,36
19.76,54.96,15,36,36
19.16,54.98,15,36,35
18.37,55.94,14,35,35
18.37,55.32,13,35,35
18.21,55.49,13,35,37
19.03,55.38,12,37,36
23.52,53.69,12,36,39
29.92,45.83,14,39,40
34.4,40.43,17,40,39
32.84,40.22,20,39,41
33.36,40.38,21,41,39
33.44,41.06,22,39,38
33.86,39.79,23,38,37
32.3,40.31,23,37,37
31.58,43.35,23,37,37
27.98,46.56,23,37,38
25.95,49.3,22,38,40
25.38,50.09,22,40,39
24.09,51.62,20.67,39,38
22.8,53.15,19.34,38,37
21.52,54.68,18,37,37
20.96,54.64,17,37,36.67
20.42,54.9,16.33,36.67,36.34
19.88,55.16,15.66,36.34,36
19.33,55.42,15,36,35
18.94,55.27,14,35,37
18.91,55.27,14,37,36
18.87,54.83,13,36,36
18.71,55.17,13,36,35
19.76,56.38,12,35,37
24.86,53.01,13,37,36
29.95,45.14,14,36,38
34.67,38.45,16,38,40
34.77,35.13,21,40,39
35.08,35.29,22,39,37
34.3,38.76,23,37,39
34.01,38.6,23,39,37
29.61,46.58,24,37,38
29.6,47.72,24,38,40
26.67,52.57,23,40,40
27.14,51.41,23,40,39
25.02,56.8,21,39,38.33
24.81,56.91,20.33,38.33,37.66
24.6,57.02,19.66,37.66,37
24.38,57.12,19,37,39
23.93,56.3,19,39,38
22.56,56.64,18.5,38,37
21.18,56.99,18,37,38
19.81,56.25,16,38,37
19.07,55.76,16,37,37
18.36,55.68,15,37,37
18.63,54.56,14,37,35
16.19,58.68,13,35,39
17.72,55.7,12,39,39.5
20.99,53.92,12.5,39.5,40
24.27,52.13,13,40,40
24.27,52.13,13,40,40
24.27,52.13,13,40,39
36.1,34.07,22,39,38
36.04,33.83,23,38,39
36.67,33.75,24,39,61
32.79,38.38,25,61,61
32.79,38.38,25,61,61
32.79,38.38,25,61,61
32.79,38.38,25,61,54
24.99,57.77,22,54,54
24.86,57.92,21.5,54,54
24.74,58.08,21,54,52
23.32,60.21,19,52,51
23.57,60.03,19,51,51
23.74,58.73,18.5,51,51
23.9,57.43,18,51,50
22.39,57.23,18,50,49
21.66,56.91,17,49,48
20.38,56.67,16,48,48
19.72,56.66,15.5,48,48
19.05,56.64,15,48,48
19.26,56.38,14,48,48
24.46,53.82,14,48,48.5
27.83,50.26,14.5,48.5,49
31.2,46.7,15,49,49
31.2,46.7,15,49,49
31.2,46.7,15,49,49
31.2,46.7,15,49,49.67
30.74,47.55,17.67,49.67,50.34
30.28,48.4,20.34,50.34,51
29.82,49.24,23,51,49
28.5,51.29,22.5,49,47
27.18,53.34,22,47,47.33
26.68,54.24,21.67,47.33,47.66
26.18,55.14,21.34,47.66,48
25.68,56.04,21,48,47
24.98,56.96,19,47,46.25
23.86,56.82,18.5,46.25,45.5
22.75,56.68,18,45.5,44.75
21.64,56.54,17.5,44.75,44
20.52,56.39,17,44,44
19.84,56.32,16,44,44
19.17,56.26,15,44,43.33
18.78,56.63,14.33,43.33,42.66
18.38,57,13.66,42.66,42
17.99,57.36,13,42,42
17.99,57.36,13,42,42
17.99,57.36,13,42,42
17.99,57.36,13,42,49
33.22,41.25,20,49,48
34.17,39.87,21,48,47
31.35,46.86,22,47,47
34.35,42.05,23,47,48
34.51,40.85,23,48,47
30.87,43.91,23,47,47
30.87,43.91,23,47,45
26.05,52.62,22,45,44
25.33,53.31,21,44,43
24.49,53.59,20,43,46
23.82,53.84,19,46,44
23.57,55.29,19,44,44
23.56,55.15,18,44,43.33
22.79,55.86,17.67,43.33,42.66
22.02,56.57,17.34,42.66,42
21.26,57.28,17,42,44
20.66,56.28,16,44,42
20.02,56.59,16,42,40
19.76,56.1,15,40,43
19.61,55.9,14,43,41
20.1,56.03,14,41,41
24.93,53.69,14,41,43
27.26,52.16,14,43,44
28.53,52.32,16,44,43
31.87,47.35,18,43,44
29.03,52.32,19,44,44
29.03,52.32,19,44,47
29.06,58.02,21,47,44
27.67,58.29,21,44,44
27.17,57.58,21,44,45
26.35,56.77,20,45,45
25.48,56.8,20,45,43
24.9,57.22,19,43,43
24.85,57.33,19,43,42
24.75,57.32,19,42,42
24.75,57.71,18,42,42
24.84,57.58,18,42,43
24.58,58.23,18,43,44
24.31,58.88,18,44,44
24.31,58.88,18,44,42
22.61,58.52,17,42,44
22.06,58.42,16,44,43
22.12,58.2,16,43,40
22.03,58.09,16,40,41
22.73,57.75,15,41,41
24.36,56.98,15,41,43
27.46,53.57,16,43,45
30.64,49.88,17,45,45
32.17,47.55,18,45,45
30.24,47.94,20,45,45
30.24,47.94,20,45,43
27.49,54.92,21,43,42.75
27.03,55.32,20.75,42.75,42.5
26.57,55.71,20.5,42.5,42.25
26.1,56.1,20.25,42.25,42
25.64,56.5,20,42,42
25.57,56.68,19.67,42,42
25.51,56.86,19.34,42,42
25.44,57.03,19,42,42
25.34,57.31,18.75,42,42
25.23,57.59,18.5,42,42
25.12,57.86,18.25,42,42
25.02,58.14,18,42,42.5
24.48,57.91,17.5,42.5,43
23.94,57.68,17,43,41
22.82,58.34,17,41,40
21.66,58.04,17,40,41
21.74,57.9,16,41,42
21.81,57.77,15,42,41
22.06,57.75,15,41,41
29.27,53.56,16,41,43
34.6,45.38,19,43,45
33.67,44.04,21,45,44
30.73,61.7,22,44,44
