S,K,ST,KA,KASJS
30.92,54.55,23,61,61
29.91,54.94,23,61,60
29.5,55.64,23,60,60.12
29.34,56.03,22.75,60.12,60.25
29.18,56.42,22.5,60.25,60.38
29.02,56.8,22.25,60.38,60.5
28.86,57.19,22,60.5,60.62
28.7,57.58,21.75,60.62,60.75
28.54,57.96,21.5,60.75,60.88
28.38,58.34,21.25,60.88,61
28.22,58.73,21,61,57
28.36,58.35,21,57,55
28.12,58.8,21,55,59
28.28,58.55,20,59,59
29.15,57.15,20,59,61
30.31,55.74,21,61,61
31.67,54.03,21,61,57
31.98,53.47,22,57,61
32.35,52.1,23,61,62
33.93,51,24,62,64
35.27,49.84,24,64,64
32.42,51.67,25,64,59
32.4,52.02,25,59,59
30.52,53.58,24,59,62
30.05,54.25,24,62,60
29.38,55.27,23,60,59
28.96,56.5,22,59,59
28.82,56.77,21.88,59,59
28.68,57.04,21.75,59,59
28.54,57.31,21.62,59,59
28.4,57.58,21.5,59,59
28.26,57.85,21.38,59,59
28.13,58.12,21.25,59,59
27.99,58.39,21.12,59,59
27.86,58.66,21,59,58
27.82,58.92,20.5,58,57
27.79,59.19,20,57,57
27.53,59.55,20,57,57
27.76,58.93,20,57,57
27.76,58.93,20,57,57
27.76,58.93,20,57,55
30.7,56.97,21,55,59
30.88,56.02,21,59,56
31.24,57.66,22,56,59
31.63,58.61,22,59,60
31.05,56.89,23,60,60
31.2,55.12,23,60,59
31.19,54.25,23,59,58
30.78,55.17,23,58,57.75
30.79,55.12,22.81,57.75,57.5
30.8,55.07,22.62,57.5,57.25
30.81,55.02,22.43,57.25,57
30.82,54.97,22.24,57,56.75
30.82,54.92,22.05,56.75,56.5
30.83,54.87,21.86,56.5,56.25
30.83,54.82,21.67,56.25,56
30.84,54.77,21.48,56,55.75
30.84,54.72,21.3,55.75,55.5
30.85,54.67,21.11,55.5,55.25
30.86,54.62,20.92,55.25,55
30.86,54.57,20.74,55,54.75
30.86,54.52,20.56,54.75,54.5
30.87,54.46,20.37,54.5,54.25
30.88,54.4,20.19,54.25,54
30.88,54.35,20,54,56
31.19,53.99,21,56,57.5
31.46,53.03,22,57.5,59
31.72,52.06,23,59,59
32.73,52.49,23,59,57
32.12,52.76,24,57,61
29.99,55.36,24,61,61
29.99,55.36,24,61,61
29.99,55.36,24,61,61
29.99,55.36,24,61,61
29.99,55.36,24,61,59.88
